,document_type,publication_year,publication_date,article_title,source_title,authors,abstract,"times_cited,_all_databases",marine_content,dimension,novelty_study_type,novelty_measured,system,notes
11,Article,2022,Aug-30,"Comparative Metagenomic Analysis of Biosynthetic Diversity across Sponge Microbiomes Highlights Metabolic Novelty, Conservation, and Diversification",MSYSTEMS,"Loureiro, C; Galani, A; Gavriilidou, A; de Mares, MC; van der Oost, J; Medema, MH; Sipkema, D","Marine sponges and their microbial symbiotic communities are rich sources of diverse natural products (NPs) that often display biological activity, yet little is known about the global distribution of NPs and the symbionts that produce them. Since the majority of sponge symbionts remain uncultured, it is a challenge to characterize their NP biosynthetic pathways, assess their prevalence within the holobiont, and measure the diversity of NP biosynthetic gene clusters (BGCs) across sponge taxa and environments. Here, we explore the microbial biosynthetic landscapes of three high-microbial-abundance (HMA) sponges from the Atlantic Ocean and the Mediterranean Sea. This data set reveals striking novelty, with,1% of the recovered gene cluster families (GCFs) showing similarity to any characterized BGC. When zooming in on the microbial communities of each sponge, we observed higher variability of specialized metabolic and taxonomic profiles between sponge species than within species. Nonetheless, we identified conservation of GCFs, with 20% of sponge GCFs being shared between at least two sponge species and a GCF core comprised of 6% of GCFs shared across all species. Within this functional core, we identified a set of widespread and diverse GCFs encoding nonribosomal peptide synthetases that are potentially involved in the production of diversified ether lipids, as well as GCFs putatively encoding the production of highly modified proteusins. The present work contributes to the small, yet growing body of data characterizing NP landscapes of marine sponge symbionts and to the cryptic biosynthetic potential contained in this environmental niche. IMPORTANCE Marine sponges and their microbial symbiotic communities are a rich source of diverse natural products (NPs). However, little is known about the sponge NP global distribution landscape and the symbionts that produce them. Here, we make use of recently developed tools to perform untargeted mining and comparative analysis of sponge microbiome metagenomes of three sponge species in the first study considering replicate metagenomes of multiple sponge species. We present an overview of the biosynthetic diversity across these sponge holobionts, which displays extreme biosynthetic novelty. We report not only the conservation of biosynthetic and taxonomic diversity but also a core of conserved specialized metabolic pathways. Finally, we highlight several novel GCFs with unknown ecological function, and observe particularly high biosynthetic potential in Acidobacteriota and Latescibacteria symbionts. This study paves the way toward a better understanding of the marine sponge holobionts' biosynthetic potential and the functional and ecological role of sponge microbiomes.",30,TRUE,technical,new_species,FALSE,sponge_holobiont,new species
12,Article,2016,JUN,"Rate of movement of juvenile lemon sharks in a novel open field, are we measuring activity or reaction to novelty?",ANIMAL BEHAVIOUR,"Finger, JS; Dhellemmes, F; Guttridge, TL; Kurvers, RHJM; Gruber, SH; Krause, J","Personality differences are widespread throughout the animal kingdom and can have important ecological and evolutionary consequences. Despite a rapidly increasing body of literature, large (marine) vertebrates remain underrepresented in personality research. Given their unique life history traits (e.g. slow growth rate, slow reproduction rate, long life span) and their pivotal role in ecosystem processes, this is an important gap in our current knowledge. Here we investigated consistency and plasticity in movement behaviour of wild juvenile lemon sharks, Negaprion brevirostris, by repeatedly subjecting sharks to open field tests. First, we investigated the presence of interindividual differences in movement behaviour in a novel open field. Second, we investigated the effect of trial repetition on movement behaviour to understand whether movement in a novel open field reflects a reaction to novelty, or general activity. Third, we estimated individual differences in habituation/sensitization rates over trial repetition and studied how the habituation rate was predicted by the initial movement rate. We found consistent individual differences in movement behaviour during the open field tests. Sharks showed habituation in movement behaviour (i.e. decrease) over repeated trials indicating that the movement behaviour during the first trials is a reaction to novelty, and not general activity. Individuals, however, differed in their rate of habituation (i.e. plasticity) and this rate was negatively related to an individual's movement behaviour in the first open field trial. In addition to showing individual differences in consistency and plasticity in juvenile lemon sharks, our study emphasizes the importance of examining the validity of personality tests when adapting them to new species. (C) 2016 The Association for the Study of Animal Behaviour. Published by Elsevier Ltd. All rights reserved.",42,TRUE,technical,behavioural,FALSE,shark,
13,Article,2024,AUG,Studies of chemical distribution and pharmacological activities of porifera-derived alkaloids: A review (2000-2023),EUROPEAN JOURNAL OF MEDICINAL CHEMISTRY REPORTS,"Khatun, A; Hazra, K; Mahato, B; Koley, R; Ghorai, R; Adhikary, A; Debnath, B; Das, S","This review explores the non-random distribution of chemical novelty among marine invertebrate phyla, with a particular focus on Porifera (sponges), which have exhibited the highest average count of novel natural products per species since 1990. Sponges, considered the oldest multicellular animals, boast approximately 15,000 species, with 8553 officially recognized. They are integral to marine ecosystems and have ecological, economic, and biopharmaceutical significance. The review outlines the structure and habits of sponges, their historical use, and their prevalence in various marine and freshwater habitats. Notably, sponges are recognized as key sources of marine natural products, with their potential medicinal applications extensively studied. Lead compounds derived from sponges have yielded marine pharmaceuticals, including cytarabine, vidarabine, and eribulin mesylate, approved for anticancer and antiviral purposes. Ongoing clinical studies involve novel sponge derivatives such as gemcitabine, hemiasterlin, discodermolide, and PM060184. The review underscores the global interest among researchers in natural product chemistry and pharmaceutical sciences in investigating marine sponges for medication development. The authors conducted a comprehensive literature review from 2000 to 2023, summarizing the chemistry and pharmacological activities of porifera-derived alkaloids based on 212 research papers. The chemical distribution section emphasizes the oceans as a vast repository of unexplored chemical diversity, with sponges yielding approximately 413 alkaloids from 2000 to 2023. Overall, the review provides a comprehensive overview of the chemical and pharmacological diversity of porifera-derived alkaloids, highlighting the importance of sponges as valuable subjects for chemical investigations with potential implications for medication development.",7,TRUE,technical,biotechnology,FALSE,sponge_holobiont,
14,Article,2025,OCT,Data integration improves species distribution forecasts under novel ocean conditions,ECOGRAPHY,"Farchadi, N; Braun, CD; Arostegui, MC; Muhling, BA; Hazen, EL; Allyn, AJ; Oken, KL; Lewison, RL","Accurate forecasts of species distributions in response to changing climate is essential for proactive management and conservation decision-making. However, species distribution models (SDMs) often have limited capacity to produce robust forecasts under novel environmental conditions, partly due to limitations in model training data. Model-based approaches that leverage diverse types of data have advanced over the last decade, yet their forecasting skill, especially during episodic climatic events, remains uncertain. Here, we develop a suite of SDMs for a commercially important fishery species, albacore tuna Thunnus alalunga, to evaluate forecast skill under marine heatwave conditions. We compare models that use different methods to leverage data sources (data-pooling versus joint-likelihood) and to address spatial dependence (environmental and spatial effects versus environmental-only) to assess their relative performance in predicting species distributions under novel environmental conditions. Our results indicate model performance declined across all model types as environmental novelty increased as expected. However, joint-likelihood approaches were more resilient to novel conditions, demonstrating greater predictive skill and ecological realism than traditional SDMs. These results suggest that ecological forecasts under novel environmental conditions are more skillful with a model framework that accounts for unmeasured spatial and temporal variability and uses model-based data integration to explicitly leverage diverse data types. As access to diverse data sources continues to increase, maximizing their utility will be key for delivering accurate forecasts of species distributions and advancing proactive, climate-ready management and conservation strategies.",0,TRUE,climate,modelling,TRUE,species_distribution_models,
15,Article,2020,AUG,Chemical novelty facilitates herbivore resistance and biological invasions in some introduced plant species,ECOLOGY AND EVOLUTION,"Sedio, BE; Devaney, JL; Pullen, J; Parker, GG; Wright, SJ; Parker, JD","Ecological release from herbivory due to chemical novelty is commonly predicted to facilitate biological invasions by plants, but has not been tested on a community scale. We used metabolomics based on mass spectrometry molecular networks to assess the novelty of foliar secondary chemistry of 15 invasive plant species compared to 46 native species at a site in eastern North America. Locally, invasive species were more chemically distinctive than natives. Among the 15 invasive species, the more chemically distinct were less preferred by insect herbivores and less browsed by deer. Finally, an assessment of invasion frequency in 2,505 forest plots in the Atlantic coastal plain revealed that, regionally, invasive species that were less preferred by insect herbivores, less browsed by white-tailed deer, and chemically distinct relative to the native plant community occurred more frequently in survey plots. Our results suggest that chemically mediated release from herbivores contributes to many successful invasions.",20,FALSE,NA,NA,NA,NA,
16,Article,2018,JAN,Creating Socioecological Novelty in Urban Agroecosystems from the Ground Up,BIOSCIENCE,"Egerer, M; Ossola, A; Lin, BB","The contemporary renaissance of urban agriculture is crucially linking ecological and social systems in modern cityscapes. Community gardens contribute ecological (biodiversity conservation) and social (food security) benefits to urban residents and enhance landscape multifunctionality. Cities have been recently labeled novel ecosystems because of the multiscalar interaction of sociocultural and biophysical elements. We conceptualize community garden soils within the novel ecosystem framework, arguing that gardeners are cultivating novel agroecosystems starting from their garden beds' soil. Although urban soil characteristics are linked to land-use legacies in most urban ecosystems, we find that in our system, the California central coast, community-garden soils may live outside the influence of legacies associated with geographic location. Instead, the intensive (re) working of soils by gardeners may washout legacy signals and decadal chronological trends, leading to soil homogenization that reduces the biophysical ties to the meters of earth below. Thus, socioecological novelty can be created in multiple forms in cities.",15,FALSE,NA,NA,NA,NA,
17,Article,2019,OCT,"A triage framework for managing novel, hybrid, and designed marine ecosystems",GLOBAL CHANGE BIOLOGY,"Schlppy, ML; Hobbs, RJ","The novel ecosystem (NE) concept has been discussed in terrestrial restoration ecology over the last 15 years but has not yet found much traction in the marine context. Against a background of unprecedented environmental change, managers of natural marine resources have portfolios full of altered systems for which restoration to a previous historical baseline may be impractical for ecological, social, or financial reasons. In these cases, the NE concept is useful for weighing options and emphasizes the risk of doing nothing by forcing questions regarding the value of novelty and how it can best be managed in the marine realm. Here, we explore how the concept fits marine ecosystems. We propose a scheme regarding how the NE concept could be used as a triage framework for use in marine environments within the context of a decision framework that explicitly considers changed ecosystems and whether restoration is the best or only option. We propose a conceptual diagram to show where marine NEs fit in the continuum of unaltered to shifted marine ecosystems. Overall, we suggest that the NE concept is of interest to marine ecologists and resource managers because it introduces a new vocabulary for considering marine systems that have been changed through human actions but have not shifted to an alternate stable state. Although it remains to be seen whether the concept of marine NEs leads to better conservation and restoration decisions, we posit that the concept may help inform management decisions in an era of unprecedented global marine change.",15,TRUE,ecological,theoretical,FALSE,multiple,
18,Article,2014,APR,Novel trophic niches drive variable progress towards ecological speciation within an adaptive radiation of pupfishes,MOLECULAR ECOLOGY,"Martin, CH; Feinstein, LC","Adaptive radiation is recognized by a rapid burst of phenotypic, ecological and species diversification. However, it is unknown whether different species within an adaptive radiation evolve reproductive isolation at different rates. We compared patterns of genetic differentiation between nascent species within an adaptive radiation of Cyprinodon pupfishes using genotyping by sequencing. Similar to classic adaptive radiations, this clade exhibits rapid morphological diversification rates and two species are novel trophic specialists, a scale-eater and hard-shelled prey specialist (durophage), yet the radiation is <10000years old. Both specialists and an abundant generalist species all coexist in the benthic zone of lakes on San Salvador Island, Bahamas. Based on 13912 single-nucleotide polymorphisms (SNPs), we found consistent differences in genetic differentiation between each specialist species and the generalist across seven lakes. The scale-eater showed the greatest genetic differentiation and clustered by species across lakes, whereas durophage populations often clustered with sympatric generalist populations, consistent with parallel speciation across lakes. However, we found strong evidence of admixture between durophage populations in different lakes, supporting a single origin of this species and genome-wide introgression with sympatric generalist populations. We conclude that the scale-eater is further along the speciation-with-gene-flow continuum than the durophage and suggest that different adaptive landscapes underlying these two niche environments drive variable progress towards speciation within the same habitat. Our previous measurements of fitness surfaces in these lakes support this conclusion: the scale-eating fitness peak may be more distant than the durophage peak on the complex adaptive landscape driving adaptive radiation.",70,TRUE,ecological,empirical,FALSE,trophic_novelty,
19,Article,2021,Oct-01,The Risk for Novel and Disappearing Environmental Conditions in the Baltic Sea,FRONTIERS IN MARINE SCIENCE,"Blenckner, T; Ammar, Y; Müller-Karulis, B; Niiranen, S; Arneborg, L; Li, Q","Future climate biogeochemical projections indicate large changes in the ocean with environmental conditions not experienced at present referred to as novel, or may even disappear. These climate-induced changes will most likely affect species distribution via changes in growth, behavior, evolution, dispersal, and species interactions. However, the future risk of novel and disappearing environmental conditions in the ocean is poorly understood, in particular for compound effects of climate and nutrient management changes. We map the compound risk of the occurrence of future novel and disappearing environmental conditions, analyze the outcome of climate and nutrient management scenarios for the world's largest estuary, the Baltic Sea, and the potential consequences for three charismatic species. Overall, the future projections show, as expected, an increase in environmental novelty over time. The future nutrient reduction management that improves the eutrophication status of the Baltic Sea contributes to large novel and disappearing conditions. We show the consequences of novel and disappearing environmental conditions for fundamental niches of three charismatic species under different scenarios. This first step toward comprehensively analyzing environmental novelty and disappearing conditions for a marine system illustrates the urgent need to include novelty and disappearing projection outputs in Earth System Models. Our results further illustrate that adaptive management is needed to account for the emergence of novelty related to the interplay of multiple drivers. Overall, our analysis provides strong support for the expectation of novel ecological communities in marine systems, which may affect ecosystem services, and needs to be accounted for in sustainable future management plans of our oceans.",10,TRUE,climate,empirical,TRUE,"sea_environment, niches",
20,Article,2017,JAN,Examining gradients in ecosystem novelty: fish assemblage structure in an invaded Everglades canal system,ECOSPHERE,"Gandy, DA; Rehage, JS","Novel ecosystems result from a combination of altered historical abiotic regimes and new species assemblages. In freshwater systems, novel environmental conditions often result from large-scale changes to hydrological connectivity as well as species invasions. Novel environmental conditions may affect the survival of aquatic fauna by altering dispersal patterns and resource fluctuations, and/or may impose physiological constraints on native species evolutionarily adapted to particular environments. Further, novel systems can provide insight into processes driving community structure because re-sorting or filtering of regional biota is a likely consequence of decoupling from historical conditions. Although several studies document the presence of novel conditions, few examine variation or gradients in novelty. The Florida Everglades is a highly invaded and hydrologically altered system characterized by a large network of canals that compartmentalize the ecosystem and act to both increase and decrease connectivity. Little is known about how canals in this region function as habitat for native and nonnative fishes, the extent to which these canals may function as novel habitats, and how these habitat characteristics may influence distribution, abundance, and assembly patterns. In this study, we examined native and nonnative fish assemblages along a gradient of novelty, defined as the loss of wetland connectivity, influence of the natural hydrological regime, and habitat complexity (well connected to leveed canals). As novelty increased, native species richness and abundance strongly declined and the contribution of nonnatives increased to nearly 50%. Vast differences in community structure across the novelty gradient were strongly influenced by spatial factors and secondarily by hydrological factors, while habitat and abiotic factors were of very low relevance. Natives and nonnatives had opposing responses to key hydrological and habitat characteristics. Abundance of native fishes declined with decreased connectivity to adjacent marshes and canal littoral zone width, while nonnative fishes increased significantly in the most novel canals. Our results suggest that the inherent loss of natural environmental conditions and subsequent replacement by novel ones can lead to extensive changes in fish community structure. Success or failure at maintaining native assemblages will rely heavily on natural resource manager's ability to incorporate natural environmental characteristics with ecosystem restoration.",14,TRUE,ecological,empirical,TRUE,everglades,
